PLAYER,Mat.x,Inns.x,Runs.x,Wkts
Aaron Finch,10,9,134,0
AB de Villiers,12,11,480,0
Abhishek Sharma,3,3,63,0
Ajinkya Rahane,15,14,370,0
Alex Hales,6,6,148,0
Ambati Rayudu,16,16,602,0
Andre Russell,16,14,316,13
Andrew Tye,14,8,32,24
Axar Patel,9,8,80,3
Ben Cutting,9,6,96,2
Ben Stokes,13,13,196,8
Bhuvneshwar Kumar,12,4,13,9
Brendon McCullum,6,6,127,0
Carlos Brathwaite,4,4,75,5
Chris Gayle,11,11,368,0
Chris Lynn,16,16,491,0
Chris Morris,4,4,46,3
Chris Woakes,5,4,17,8
Colin de Grandhomme,9,8,131,2
Colin Munro,5,5,63,0
Corey Anderson,3,3,17,3
D'Arcy Short,7,7,115,1
Dan Christian,4,3,26,4
David Miller,3,3,74,0
Deepak Chahar,12,4,50,10
Deepak Hooda,9,8,87,0
Dinesh Karthik,16,16,498,0
Dwayne Bravo,16,10,141,14
Evin Lewis,13,13,382,0
Faf du Plessis,6,6,162,0
Gautam Gambhir,6,5,85,0
Glenn Maxwell,12,12,169,5
Harbhajan Singh,13,3,29,7
Hardik Pandya,13,13,260,18
Harshal Patel,5,2,60,7
Heinrich Klaasen,4,4,57,0
Ishan Kishan,14,12,275,0
Jason Roy,5,5,120,0
Jaydev U0dkat,15,7,49,11
Jofra Archer,10,8,15,15
Jos Buttler,13,13,548,0
JP Duminy,6,4,36,0
Kane Williamson ,17,17,735,0
Karun 0ir,13,12,301,0
Kedar Jadhav,1,1,24,0
Kieron Pollard,9,8,133,0
Krish0ppa Gowtham,15,13,126,11
Kru0l Pandya,14,13,228,12
Lokesh Rahul,14,14,659,0
Mahipal Lomror,2,2,20,0
Ma0n Vohra,4,4,55,0
Mandeep Singh,14,13,252,0
Manish Pandey,15,13,284,0
Manoj Tiwary,5,4,47,0
Marcus Stoinis,7,7,99,3
Mayank Agarwal,11,11,120,0
Mayank Markande,14,6,21,15
Mitchell Johnson,6,2,16,2
Moeen Ali,5,4,77,3
Mohammad 0bi,2,2,18,1
Mohammed Siraj,11,4,25,11
MS Dhoni,16,15,455,0
Nitish Ra0,15,15,304,4
Parthiv Patel,6,6,153,0
Piyush Chawla,15,7,27,14
Prithvi Shaw,9,9,245,0
Quinton de Kock,8,8,201,0
Rahul Tewatia,8,5,50,6
Rahul Tripathi,12,12,226,0
Rashid Khan,17,7,59,21
Ravichandran Ashwin,14,9,102,10
Ravindra Jadeja,16,10,89,11
Rinku Singh,4,4,29,0
Rishabh Pant,14,14,684,0
Robin Uthappa,16,16,351,0
Rohit Sharma,14,14,286,0
Sam Billings,10,8,108,0
Sanju Samson,15,15,441,0
Sarfaraz Khan,7,6,51,0
Shakib Al Hasan,17,13,239,14
Shane Watson,15,15,555,6
Shardul Thakur,13,1,15,16
Shikhar Dhawan,16,16,497,0
Shivam Mavi,9,4,13,5
Shreevats Goswami,6,3,52,0
Shreyas Gopal,11,4,50,11
Shreyas Iyer,14,14,411,0
Shubman Gill,13,11,203,0
Stuart Binny,7,5,44,0
Sunil 0rine,16,16,357,17
Suresh Rai0,15,15,445,0
Suryakumar Yadav,14,14,512,0
Tim Southee,8,4,52,5
Tom Curran,5,4,23,6
Vijay Shankar,13,11,212,1
Virat Kohli,14,14,530,0
Washington Sundar,7,6,65,4
Wriddhiman Saha,11,10,122,0
Yusuf Pathan,15,13,260,1
Yuvraj Singh,8,6,65,0
Akila Da0njaya,0,0,0,0
Amit Mishra,0,0,0,12
Ankit Rajpoot,0,0,0,11
Ankit Sharma,0,0,0,0
Anureet Singh,0,0,0,1
Avesh Khan,0,0,0,4
Barinder Sran,0,0,0,4
Basil Thampi,0,0,0,5
Ben Laughlin,0,0,0,9
Billy Stanlake,0,0,0,5
Chris Jordan,0,0,0,0
David Willey,0,0,0,2
Dhawal Kulkarni,0,0,0,4
Imran Tahir,0,0,0,6
Ish Sodhi,0,0,0,5
Jasprit Bumrah,0,0,0,17
Javon Searles,0,0,0,2
Junior Dala,0,0,0,0
Karn Sharma,0,0,0,4
Khaleel Ahmed,0,0,0,0
KM Asif,0,0,0,3
Kuldeep Yadav,0,0,0,17
Kulwant Khejroliya,0,0,0,2
Liam Plunkett,0,0,0,4
Lungi Ngidi,0,0,0,11
Mark Wood,0,0,0,0
Mitchell McCle0ghan,0,0,0,14
Mohammed Shami,0,0,0,3
Mohit Sharma,0,0,0,7
Mujeeb Ur Rahman,0,0,0,14
Murugan Ashwin,0,0,0,3
Mustafizur Rahman,0,0,0,7
Pawan Negi,0,0,0,1
Pradeep Sangwan,0,0,0,0
Prasidh Krish0,0,0,0,10
Sandeep Lamichhane,0,0,0,5
Sandeep Sharma,0,0,0,12
Shahbaz 0deem,0,0,0,3
Siddarth Kaul,0,0,0,21
Trent Boult,0,0,0,18
Umesh Yadav,0,0,0,20
Vi0y Kumar,0,0,0,2
Yuzvendra Chahal,0,0,0,12
